44,Taric,UTILITY,TRUE,875,45,131,777
25,Morgana,JUNGLE,FALSE,86,1,234,876
44,Taric,JUNGLE,FALSE,777,84,31,104
44,Taric,JUNGLE,TRUE,150,555,84,141
203,Kindred,JUNGLE,TRUE,75,30,266,876
18,Tristana,JUNGLE,TRUE,106,44,54,141
44,Taric,JUNGLE,FALSE,84,4,79,20
44,Taric,JUNGLE,FALSE,112,29,64,20
44,Taric,JUNGLE,TRUE,114,120,86,234
44,Taric,JUNGLE,TRUE,86,142,23,72
44,Taric,JUNGLE,TRUE,86,8,887,78
44,Taric,JUNGLE,FALSE,8,133,126,104
44,Taric,JUNGLE,TRUE,266,112,98,154
44,Taric,MIDDLE,TRUE,238,1,41,29
44,Taric,MIDDLE,FALSE,86,517,122,120
44,Taric,MIDDLE,TRUE,23,7,41,120
20,Nunu,MIDDLE,FALSE,98,112,69,131
44,Taric,BOTTOM,FALSE,236,147,48,5
141,Kayn,MIDDLE,FALSE,106,112,82,44
555,Pyke,BOTTOM,TRUE,147,34,51,115
238,Zed,MIDDLE,TRUE,126,112,48,2
131,Diana,MIDDLE,TRUE,133,86,67,64
131,Diana,MIDDLE,TRUE,777,875,126,203
268,Azir,MIDDLE,TRUE,92,30,85,19
112,Viktor,MIDDLE,FALSE,39,106,875,28
268,Azir,MIDDLE,FALSE,875,35,86,234
119,Draven,MIDDLE,FALSE,887,48,50,19
268,Azir,MIDDLE,FALSE,67,18,86,64
119,Draven,MIDDLE,FALSE,223,35,50,29
268,Azir,MIDDLE,TRUE,24,234,84,141
112,Viktor,BOTTOM,TRUE,164,78,39,64
112,Viktor,UTILITY,FALSE,166,120,10,234
112,Viktor,BOTTOM,TRUE,41,5,104,78
268,Azir,BOTTOM,TRUE,875,104,36,64
268,Azir,BOTTOM,FALSE,58,78,36,104
268,Azir,BOTTOM,FALSE,104,141,38,107
268,Azir,BOTTOM,FALSE,39,234,36,91
112,Viktor,BOTTOM,TRUE,36,120,147,131
112,Viktor,UTILITY,TRUE,23,234,106,203
142,Zoe,BOTTOM,TRUE,39,121,114,777
518,Neeko,UTILITY,TRUE,84,91,24,102
518,Neeko,UTILITY,TRUE,62,120,64,67
518,Neeko,BOTTOM,TRUE,126,76,104,64
518,Neeko,BOTTOM,FALSE,24,120,10,141
518,Neeko,MIDDLE,TRUE,14,120,17,64
518,Neeko,BOTTOM,TRUE,164,33,104,19
518,Neeko,BOTTOM,TRUE,58,120,777,28
518,Neeko,BOTTOM,TRUE,31,234,164,203
518,Neeko,UTILITY,FALSE,39,79,126,11
711,Vex,UTILITY,FALSE,104,245,10,91
518,Neeko,BOTTOM,TRUE,17,887,79,120
518,Neeko,JUNGLE,TRUE,126,9,516,203
518,Neeko,UTILITY,FALSE,777,104,126,203
518,Neeko,UTILITY,TRUE,875,203,777,120
518,Neeko,UTILITY,FALSE,164,20,777,91
518,Neeko,BOTTOM,TRUE,39,120,166,163
51,Caitlyn,MIDDLE,FALSE,711,421,126,203
518,Neeko,JUNGLE,TRUE,39,104,23,141
518,Neeko,UTILITY,FALSE,98,77,17,203
119,Draven,BOTTOM,FALSE,98,203,126,246
6,Urgot,BOTTOM,FALSE,164,112,41,30
555,Pyke,BOTTOM,FALSE,62,91,166,121
111,Nautilus,TOP,FALSE,777,76,82,35
350,Yuumi,TOP,FALSE,164,20,78,141
119,Draven,BOTTOM,TRUE,164,30,887,141
1,Annie,UTILITY,FALSE,106,102,887,107
427,Ivern,TOP,FALSE,62,8,114,28
30,Karthus,BOTTOM,TRUE,164,19,63,56
119,Draven,BOTTOM,TRUE,98,68,107,245
30,Karthus,BOTTOM,FALSE,104,102,98,28
119,Draven,TOP,TRUE,79,64,164,234
777,Yone,TOP,FALSE,154,166,62,64
6,Urgot,TOP,TRUE,246,8,114,91
119,Draven,TOP,FALSE,24,76,516,35
555,Pyke,TOP,TRUE,166,76,103,6
14,Sion,TOP,FALSE,3,91,157,154
119,Draven,TOP,FALSE,164,238,114,91
119,Draven,TOP,TRUE,17,30,38,121
202,Jhin,TOP,TRUE,41,154,27,238
17,Teemo,TOP,TRUE,19,1,122,131
133,Quinn,TOP,TRUE,20,38,17,254
133,Quinn,TOP,TRUE,104,42,39,121
133,Quinn,TOP,TRUE,120,85,875,121
133,Quinn,TOP,FALSE,203,157,166,254
133,Quinn,TOP,FALSE,60,1,126,5
133,Quinn,TOP,TRUE,234,61,84,64
133,Quinn,TOP,TRUE,30,62,238,161
133,Quinn,TOP,FALSE,2,875,31,421
133,Quinn,JUNGLE,TRUE,11,112,777,64
133,Quinn,TOP,TRUE,20,238,92,35
133,Quinn,TOP,TRUE,154,13,223,120
133,Quinn,TOP,TRUE,203,134,126,163
133,Quinn,TOP,TRUE,102,99,432,234
133,Quinn,TOP,TRUE,141,45,875,246
133,Quinn,TOP,TRUE,104,42,223,60
133,Quinn,TOP,TRUE,76,238,23,234
133,Quinn,UTILITY,TRUE,9,103,10,238
133,Quinn,TOP,FALSE,57,157,104,246
39,Irelia,TOP,FALSE,516,157,98,56
240,Kled,TOP,TRUE,104,13,27,234
84,Akali,TOP,FALSE,166,107,24,60
84,Akali,TOP,TRUE,498,4,777,104
240,Kled,TOP,TRUE,17,112,23,104
240,Kled,TOP,TRUE,104,84,777,60
84,Akali,TOP,TRUE,421,115,36,91
99,Lux,TOP,FALSE,126,78,166,91
84,Akali,TOP,TRUE,30,164,24,121
84,Akali,TOP,TRUE,161,131,122,60
240,Kled,TOP,FALSE,131,69,41,104
240,Kled,TOP,TRUE,234,42,92,91
240,Kled,TOP,TRUE,104,34,11,141
240,Kled,TOP,FALSE,25,141,777,11
84,Akali,TOP,TRUE,234,246,104,33
240,Kled,TOP,FALSE,30,166,126,20
84,Akali,TOP,FALSE,223,234,24,254
84,Akali,UTILITY,TRUE,234,246,82,91
84,Akali,TOP,TRUE,91,10,875,31
240,Kled,TOP,TRUE,64,8,23,79
240,Kled,TOP,FALSE,91,1,164,245
122,Darius,TOP,TRUE,16,150,31,523
245,Ekko,JUNGLE,FALSE,55,523,45,81
555,Pyke,JUNGLE,FALSE,43,517,67,432
